FromNodeNumber	ToNodeNumber	RoutingType	LoadType	MoveNumber	Speed	APlusMacro	EstimatedMoveTime	Distance	Cost	MaxLockTo	DetourAPlusMacro
692	695	APL	ALL	6920695	50	M06920695	0	2100	0	0	
693	691	APL	ALL	6930691	-50	M06930691	0	700	0	0	
693	692	APL	ALL	6930692	-50	M06930692	0	1400	0	0	
693	694	APL	ALL	6930694	-50	M06930694	0	2100	0	0	
693	695	APL	ALL	6930695	50	M06930695	0	700	0	0	
694	691	APL	ALL	6940691	50	M06940691	0	1400	0	0	
694	692	APL	ALL	6940692	50	M06940692	0	700	0	0	
694	693	APL	ALL	6940693	50	M06940693	0	2100	0	0	
694	695	APL	ALL	6940695	50	M06940695	0	2800	0	0	
695	691	APL	ALL	6950691	-50	M06950691	0	1400	0	0	
695	692	APL	ALL	6950692	-50	M06950692	0	2100	0	0	
695	693	APL	ALL	6950693	-50	M06950693	0	700	0	0	
695	694	APL	ALL	6950694	-50	M06950694	0	2800	0	0	
701	702	APL	ALL	7010702	-50	M07010702	0	700	0	0	
701	703	APL	ALL	7010703	50	M07010703	0	700	0	0	
701	704	APL	ALL	7010704	-50	M07010704	0	1400	0	0	
701	705	APL	ALL	7010705	50	M07010705	0	1400	0	0	
702	701	APL	ALL	7020701	50	M07020701	0	700	0	0	
702	703	APL	ALL	7020703	50	M07020703	0	1400	0	0	
702	704	APL	ALL	7020704	-50	M07020704	0	700	0	0	
702	705	APL	ALL	7020705	50	M07020705	0	2100	0	0	
703	704	APL	ALL	7030704	-50	M07030704	0	2100	0	0	
703	705	APL	ALL	7030705	-50	M07030705	0	700	0	0	
704	701	APL	ALL	7040701	50	M07040701	0	1400	0	0	
704	702	APL	ALL	7040702	50	M07040702	0	700	0	0	
704	703	APL	ALL	7040703	50	M07040703	0	2100	0	0	
704	705	APL	ALL	7040705	50	M07040705	0	2800	0	0	
705	701	APL	ALL	7050701	-50	M07050701	0	1400	0	0	
705	702	APL	ALL	7050702	-50	M07050702	0	2100	0	0	
705	703	APL	ALL	7050703	-50	M07050703	0	700	0	0	
705	704	APL	ALL	7050704	-50	M07050704	0	2800	0	0	
711	712	APL	ALL	7110712	-50	M07110712	0	700	0	0	
711	713	APL	ALL	7110713	50	M07110713	0	700	0	0	
711	714	APL	ALL	7110714	-50	M07110714	0	1399	0	0	
711	715	APL	ALL	7110715	50	M07110715	0	1400	0	0	
712	711	APL	ALL	7120711	50	M07120711	0	700	0	0	
712	713	APL	ALL	7120713	50	M07120713	0	1400	0	0	
712	714	APL	ALL	7120714	-50	M07120714	0	699	0	0	
712	715	APL	ALL	7120715	50	M07120715	0	2100	0	0	
713	711	APL	ALL	7130711	-50	M07130711	0	700	0	0	
713	712	APL	ALL	7130712	-50	M07130712	0	1400	0	0	
713	714	APL	ALL	7130714	-50	M07130714	0	2099	0	0	
713	715	APL	ALL	7130715	50	M07130715	0	700	0	0	
714	711	APL	ALL	7140711	50	M07140711	0	1399	0	0	
714	712	APL	ALL	7140712	50	M07140712	0	699	0	0	
714	713	APL	ALL	7140713	50	M07140713	0	2099	0	0	
714	715	APL	ALL	7140715	50	M07140715	0	2799	0	0	
715	711	APL	ALL	7150711	-50	M07150711	0	1400	0	0	
715	712	APL	ALL	7150712	-50	M07150712	0	2100	0	0	
715	713	APL	ALL	7150713	-50	M07150713	0	700	0	0	
715	714	APL	ALL	7150714	-50	M07150714	0	2799	0	0	
721	722	APL	ALL	7210722	-50	M07210722	0	699	0	0	
721	723	APL	ALL	7210723	50	M07210723	0	700	0	0	
721	724	APL	ALL	7210724	-50	M07210724	0	1399	0	0	
721	725	APL	ALL	7210725	50	M07210725	0	1400	0	0	
722	721	APL	ALL	7220721	50	M07220721	0	699	0	0	
722	723	APL	ALL	7220723	50	M07220723	0	1399	0	0	
722	724	APL	ALL	7220724	-50	M07220724	0	700	0	0	
722	725	APL	ALL	7220725	50	M07220725	0	2099	0	0	
723	721	APL	ALL	7230721	-50	M07230721	0	700	0	0	
723	722	APL	ALL	7230722	-50	M07230722	0	1399	0	0	
723	724	APL	ALL	7230724	-50	M07230724	0	2099	0	0	
723	725	APL	ALL	7230725	50	M07230725	0	700	0	0	
724	721	APL	ALL	7240721	50	M07240721	0	1399	0	0	
724	722	APL	ALL	7240722	50	M07240722	0	700	0	0	
724	723	APL	ALL	7240723	50	M07240723	0	2099	0	0	
724	725	APL	ALL	7240725	50	M07240725	0	2799	0	0	
725	721	APL	ALL	7250721	-50	M07250721	0	1400	0	0	
725	722	APL	ALL	7250722	-50	M07250722	0	2099	0	0	
725	723	APL	ALL	7250723	-50	M07250723	0	700	0	0	
725	724	APL	ALL	7250724	-50	M07250724	0	2799	0	0	
731	732	APL	ALL	7310732	-50	M07310732	0	700	0	0	
731	733	APL	ALL	7310733	50	M07310733	0	700	0	0	
731	734	APL	ALL	7310734	-50	M07310734	0	1399	0	0	
731	735	APL	ALL	7310735	50	M07310735	0	1400	0	0	
732	731	APL	ALL	7320731	50	M07320731	0	700	0	0	
732	733	APL	ALL	7320733	50	M07320733	0	1400	0	0	
732	734	APL	ALL	7320734	-50	M07320734	0	699	0	0	
732	735	APL	ALL	7320735	50	M07320735	0	2100	0	0	
733	731	APL	ALL	7330731	-50	M07330731	0	700	0	0	
733	732	APL	ALL	7330732	-50	M07330732	0	1400	0	0	
733	734	APL	ALL	7330734	-50	M07330734	0	2099	0	0	
733	735	APL	ALL	7330735	50	M07330735	0	700	0	0	
734	731	APL	ALL	7340731	50	M07340731	0	1399	0	0	
734	732	APL	ALL	7340732	50	M07340732	0	699	0	0	
734	733	APL	ALL	7340733	50	M07340733	0	2099	0	0	
734	735	APL	ALL	7340735	50	M07340735	0	2799	0	0	
735	731	APL	ALL	7350731	-50	M07350731	0	1400	0	0	
735	732	APL	ALL	7350732	-50	M07350732	0	2100	0	0	
735	733	APL	ALL	7350733	-50	M07350733	0	700	0	0	
735	734	APL	ALL	7350734	-50	M07350734	0	2799	0	0	
741	742	APL	ALL	7410742	-50	M07410742	0	700	0	0	
741	743	APL	ALL	7410743	50	M07410743	0	699	0	0	
741	744	APL	ALL	7410744	-50	M07410744	0	1400	0	0	
741	745	APL	ALL	7410745	50	M07410745	0	1399	0	0	
742	741	APL	ALL	7420741	50	M07420741	0	700	0	0	
742	743	APL	ALL	7420743	50	M07420743	0	1399	0	0	
742	744	APL	ALL	7420744	-50	M07420744	0	700	0	0	
742	745	APL	ALL	7420745	50	M07420745	0	2099	0	0	
743	741	APL	ALL	7430741	-50	M07430741	0	699	0	0	
743	742	APL	ALL	7430742	-50	M07430742	0	1399	0	0	
743	744	APL	ALL	7430744	-50	M07430744	0	2099	0	0	
743	745	APL	ALL	7430745	50	M07430745	0	700	0	0	
744	741	APL	ALL	7440741	50	M07440741	0	1400	0	0	
744	742	APL	ALL	7440742	50	M07440742	0	700	0	0	
744	743	APL	ALL	7440743	50	M07440743	0	2099	0	0	
744	745	APL	ALL	7440745	50	M07440745	0	2799	0	0	
745	741	APL	ALL	7450741	-50	M07450741	0	1399	0	0	
745	742	APL	ALL	7450742	-50	M07450742	0	2099	0	0	
745	743	APL	ALL	7450743	-50	M07450743	0	700	0	0	
745	744	APL	ALL	7450744	-50	M07450744	0	2799	0	0	
751	752	APL	ALL	7510752	-50	M07510752	0	700	0	0	
751	753	APL	ALL	7510753	50	M07510753	0	699	0	0	
751	754	APL	ALL	7510754	-50	M07510754	0	1400	0	0	
751	755	APL	ALL	7510755	50	M07510755	0	1399	0	0	
752	751	APL	ALL	7520751	50	M07520751	0	700	0	0	
752	753	APL	ALL	7520753	50	M07520753	0	1399	0	0	
752	754	APL	ALL	7520754	-50	M07520754	0	700	0	0	
752	755	APL	ALL	7520755	50	M07520755	0	2099	0	0	
753	751	APL	ALL	7530751	-50	M07530751	0	699	0	0	
753	752	APL	ALL	7530752	-50	M07530752	0	1399	0	0	
753	754	APL	ALL	7530754	-50	M07530754	0	2099	0	0	
753	755	APL	ALL	7530755	50	M07530755	0	700	0	0	
754	751	APL	ALL	7540751	50	M07540751	0	1400	0	0	
